"miR" "testes" "sample_num"
"368" "hsa-miR-23a" 1 57
"369" "hsa-miR-23a*" 0 57
"370" "hsa-miR-23b" 0 57
"371" "hsa-miR-23b*" 1 57
"372" "hsa-miR-23c" 0 57
"373" "hsa-miR-24" 0 57
"374" "hsa-miR-24-1*" 0 57
"375" "hsa-miR-24-2*" 0 57
"376" "hsa-miR-25" 0 57
"377" "hsa-miR-25*" 1 57
"378" "hsa-miR-26a" 0 57
"379" "hsa-miR-26a-1*" 1 57
"380" "hsa-miR-26a-2*" 1 57
"381" "hsa-miR-26b" 0 57
"382" "hsa-miR-26b*" 1 57
"383" "hsa-miR-27a" 1 57
"384" "hsa-miR-27a*" 1 57
"385" "hsa-miR-27b" 0 57
"386" "hsa-miR-27b*" 0 57
"387" "hsa-miR-28-3p" 1 57
"388" "hsa-miR-28-5p" 0 57
"389" "hsa-miR-2861" 0 57
"390" "hsa-miR-2909" 0 57
"391" "hsa-miR-296-3p" 1 57
"392" "hsa-miR-296-5p" 0 57
"393" "hsa-miR-297" 0 57
"394" "hsa-miR-298" 0 57
"395" "hsa-miR-299-3p" 0 57
"396" "hsa-miR-299-5p" 0 57
"397" "hsa-miR-29a" 1 57
"398" "hsa-miR-29a*" 0 57
"399" "hsa-miR-29b" 0 57
"400" "hsa-miR-29b-1*" 0 57
"401" "hsa-miR-29b-2*" 0 57
"402" "hsa-miR-29c" 1 57
"403" "hsa-miR-29c*" 0 57
"404" "hsa-miR-300" 0 57
"405" "hsa-miR-301a" 1 57
"406" "hsa-miR-301b" 0 57
"407" "hsa-miR-302a" 0 57
"408" "hsa-miR-302a*" 0 57
"409" "hsa-miR-302b" 0 57
"410" "hsa-miR-302b*" 1 57
"411" "hsa-miR-302c" 0 57
"412" "hsa-miR-302c*" 0 57
"413" "hsa-miR-302d" 0 57
"414" "hsa-miR-302d*" 0 57
"415" "hsa-miR-302e" 0 57
"416" "hsa-miR-302f" 0 57
"417" "hsa-miR-3065-3p" 0 57
"418" "hsa-miR-3065-5p" 1 57
"419" "hsa-miR-3074" 0 57
"420" "hsa-miR-30a" 0 57
"421" "hsa-miR-30a*" 1 57
"422" "hsa-miR-30b" 0 57
"423" "hsa-miR-30b*" 1 57
"424" "hsa-miR-30c" 0 57
"425" "hsa-miR-30c-1*" 0 57
"426" "hsa-miR-30c-2*" 0 57
"427" "hsa-miR-30d" 0 57
"428" "hsa-miR-30d*" 0 57
"429" "hsa-miR-30e" 1 57
"430" "hsa-miR-30e*" 1 57
"431" "hsa-miR-31" 0 57
"432" "hsa-miR-31*" 0 57
"433" "hsa-miR-3115" 0 57
"434" "hsa-miR-3116" 0 57
"435" "hsa-miR-3117" 1 57
"436" "hsa-miR-3118" 0 57
"437" "hsa-miR-3119" 0 57
"438" "hsa-miR-3120" 0 57
"439" "hsa-miR-3121" 0 57
"440" "hsa-miR-3122" 0 57
"441" "hsa-miR-3123" 0 57
"442" "hsa-miR-3124" 0 57
"443" "hsa-miR-3125" 0 57
"444" "hsa-miR-3126-3p" 0 57
"445" "hsa-miR-3126-5p" 0 57
"446" "hsa-miR-3127" 0 57
"447" "hsa-miR-3128" 0 57
"448" "hsa-miR-3129" 0 57
"449" "hsa-miR-3130-3p" 0 57
"450" "hsa-miR-3130-5p" 0 57
"451" "hsa-miR-3131" 0 57
"452" "hsa-miR-3132" 0 57
"453" "hsa-miR-3133" 0 57
"454" "hsa-miR-3134" 0 57
"455" "hsa-miR-3135" 0 57
"456" "hsa-miR-3136" 0 57
"457" "hsa-miR-3137" 0 57
"458" "hsa-miR-3138" 0 57
"459" "hsa-miR-3139" 0 57
"460" "hsa-miR-3140" 0 57
"461" "hsa-miR-3141" 0 57
"462" "hsa-miR-3142" 0 57
"463" "hsa-miR-3143" 0 57
"464" "hsa-miR-3144-3p" 0 57
"465" "hsa-miR-3144-5p" 0 57
"466" "hsa-miR-3145" 0 57
"467" "hsa-miR-3146" 0 57
"468" "hsa-miR-3147" 0 57
"469" "hsa-miR-3148" 0 57
"470" "hsa-miR-3149" 0 57
"471" "hsa-miR-3150" 0 57
"472" "hsa-miR-3150b" 0 57
"473" "hsa-miR-3151" 1 57
"474" "hsa-miR-3152" 0 57
"475" "hsa-miR-3153" 0 57
"476" "hsa-miR-3154" 1 57
"477" "hsa-miR-3155" 0 57
"478" "hsa-miR-3156" 0 57
"479" "hsa-miR-3157" 0 57
"480" "hsa-miR-3158" 0 57
"481" "hsa-miR-3159" 0 57
"482" "hsa-miR-3160" 0 57
"483" "hsa-miR-3161" 0 57
"484" "hsa-miR-3162" 0 57
"485" "hsa-miR-3163" 0 57
"486" "hsa-miR-3164" 0 57
"487" "hsa-miR-3165" 0 57
"488" "hsa-miR-3166" 0 57
"489" "hsa-miR-3167" 0 57
"490" "hsa-miR-3168" 0 57
"491" "hsa-miR-3169" 0 57
"492" "hsa-miR-3170" 0 57
"493" "hsa-miR-3171" 0 57
"494" "hsa-miR-3173" 0 57
"495" "hsa-miR-3174" 0 57
"496" "hsa-miR-3175" 0 57
"497" "hsa-miR-3176" 0 57
"498" "hsa-miR-3177" 0 57
"499" "hsa-miR-3178" 0 57
"500" "hsa-miR-3179" 0 57
"501" "hsa-miR-3180" 0 57
"502" "hsa-miR-3180-3p" 1 57
"503" "hsa-miR-3180-5p" 1 57
"504" "hsa-miR-3181" 0 57
"505" "hsa-miR-3182" 0 57
"506" "hsa-miR-3183" 0 57
"507" "hsa-miR-3184" 1 57
"508" "hsa-miR-3185" 0 57
"509" "hsa-miR-3186-3p" 0 57
"510" "hsa-miR-3186-5p" 0 57
"511" "hsa-miR-3187" 0 57
"512" "hsa-miR-3188" 0 57
"513" "hsa-miR-3189" 0 57
"514" "hsa-miR-3190" 0 57
"515" "hsa-miR-3191" 0 57
"516" "hsa-miR-3192" 0 57
"517" "hsa-miR-3193" 0 57
"518" "hsa-miR-3194" 0 57
"519" "hsa-miR-3195" 0 57
"520" "hsa-miR-3196" 0 57
"521" "hsa-miR-3197" 0 57
"522" "hsa-miR-3198" 0 57
"523" "hsa-miR-3199" 0 57
"524" "hsa-miR-32" 0 57
"525" "hsa-miR-32*" 1 57
"526" "hsa-miR-3200-3p" 0 57
"527" "hsa-miR-3200-5p" 0 57
"528" "hsa-miR-3201" 0 57
"529" "hsa-miR-3202" 0 57
"530" "hsa-miR-320a" 0 57
"531" "hsa-miR-320b" 0 57
"532" "hsa-miR-320c" 0 57
"533" "hsa-miR-320d" 0 57
"534" "hsa-miR-320e" 0 57
"535" "hsa-miR-323-3p" 0 57
"536" "hsa-miR-323-5p" 0 57
"537" "hsa-miR-323b-3p" 1 57
"538" "hsa-miR-323b-5p" 0 57
"539" "hsa-miR-324-3p" 1 57
"540" "hsa-miR-324-5p" 0 57
"541" "hsa-miR-325" 0 57
"542" "hsa-miR-326" 0 57
"543" "hsa-miR-328" 1 57
"544" "hsa-miR-329" 0 57
"545" "hsa-miR-330-3p" 0 57
"546" "hsa-miR-330-5p" 0 57
"547" "hsa-miR-331-3p" 1 57
"548" "hsa-miR-331-5p" 0 57
"549" "hsa-miR-335" 1 57
"550" "hsa-miR-335*" 0 57
"551" "hsa-miR-337-3p" 0 57
"552" "hsa-miR-337-5p" 0 57
"553" "hsa-miR-338-3p" 0 57
"554" "hsa-miR-338-5p" 0 57
"555" "hsa-miR-339-3p" 1 57
"556" "hsa-miR-339-5p" 0 57
"557" "hsa-miR-33a" 0 57
"558" "hsa-miR-33a*" 1 57
"559" "hsa-miR-33b" 1 57
"560" "hsa-miR-33b*" 0 57
"561" "hsa-miR-340" 0 57
"562" "hsa-miR-340*" 0 57
"563" "hsa-miR-342-3p" 0 57
"564" "hsa-miR-342-5p" 0 57
"565" "hsa-miR-345" 0 57
"566" "hsa-miR-346" 0 57
"567" "hsa-miR-34a" 0 57
"568" "hsa-miR-34a*" 0 57
"569" "hsa-miR-34b" 0 57
"570" "hsa-miR-34b*" 0 57
"571" "hsa-miR-34c-3p" 0 57
"572" "hsa-miR-34c-5p" 0 57
"573" "hsa-miR-3605-3p" 0 57
"574" "hsa-miR-3605-5p" 1 57
"575" "hsa-miR-3606" 1 57
"576" "hsa-miR-3607-3p" 0 57
"577" "hsa-miR-3607-5p" 0 57
"578" "hsa-miR-3609" 0 57
"579" "hsa-miR-3610" 0 57
"580" "hsa-miR-3611" 1 57
"581" "hsa-miR-3612" 0 57
"582" "hsa-miR-3613-3p" 1 57
