"miR" "mammary.gland" "num_samples"
"549" "hsa-mir-503" 4 15
"550" "hsa-mir-504" 0 15
"551" "hsa-mir-505" 13 15
"552" "hsa-mir-505*" 2 15
"553" "hsa-mir-506" 0 15
"554" "hsa-mir-507" 0 15
"555" "hsa-mir-508-3p" 0 15
"556" "hsa-mir-508-5p" 0 15
"557" "hsa-mir-509-3-5p" 0 15
"558" "hsa-mir-509-3p" 0 15
"559" "hsa-mir-509-5p" 0 15
"560" "hsa-mir-510" 0 15
"561" "hsa-mir-511" 0 15
"562" "hsa-mir-512-3p" 0 15
"563" "hsa-mir-512-5p" 0 15
"564" "hsa-mir-513a-3p" 0 15
"565" "hsa-mir-513a-5p" 14 15
"566" "hsa-mir-513b" 7 15
"567" "hsa-mir-513c" 3 15
"568" "hsa-mir-514" 0 15
"569" "hsa-mir-515-3p" 0 15
"570" "hsa-mir-515-5p" 0 15
"571" "hsa-mir-516a-3p" 0 15
"572" "hsa-mir-516a-5p" 3 15
"573" "hsa-mir-516b" 0 15
"574" "hsa-mir-517*" 0 15
"575" "hsa-mir-517a" 0 15
"576" "hsa-mir-517b" 0 15
"577" "hsa-mir-517c" 0 15
"578" "hsa-mir-518a-3p" 0 15
"579" "hsa-mir-518a-5p" 0 15
"580" "hsa-mir-518b" 0 15
"581" "hsa-mir-518c" 0 15
"582" "hsa-mir-518c*" 0 15
"583" "hsa-mir-518d-3p" 0 15
"584" "hsa-mir-518e" 0 15
"585" "hsa-mir-518e*" 0 15
"586" "hsa-mir-518f" 0 15
"587" "hsa-mir-518f*" 0 15
"588" "hsa-mir-519b-3p" 0 15
"589" "hsa-mir-519c-3p" 0 15
"590" "hsa-mir-519d" 0 15
"591" "hsa-mir-519e" 0 15
"592" "hsa-mir-519e*" 0 15
"593" "hsa-mir-520a-3p" 0 15
"594" "hsa-mir-520a-5p" 0 15
"595" "hsa-mir-520b" 1 15
"596" "hsa-mir-520c-3p" 0 15
"597" "hsa-mir-520d-3p" 0 15
"598" "hsa-mir-520e" 0 15
"599" "hsa-mir-520f" 0 15
"600" "hsa-mir-520g" 0 15
"601" "hsa-mir-520h" 0 15
"602" "hsa-mir-521" 0 15
"603" "hsa-mir-522" 0 15
"604" "hsa-mir-523" 0 15
"605" "hsa-mir-524-3p" 0 15
"606" "hsa-mir-525-3p" 0 15
"607" "hsa-mir-525-5p" 1 15
"608" "hsa-mir-526b" 4 15
"609" "hsa-mir-526b*" 0 15
"610" "hsa-mir-532-3p" 8 15
"611" "hsa-mir-532-5p" 13 15
"612" "hsa-mir-539" 2 15
"613" "hsa-mir-541" 0 15
"614" "hsa-mir-541*" 0 15
"615" "hsa-mir-542-3p" 11 15
"616" "hsa-mir-542-5p" 12 15
"617" "hsa-mir-543" 4 15
"618" "hsa-mir-544" 0 15
"619" "hsa-mir-545" 0 15
"620" "hsa-mir-545*" 0 15
"621" "hsa-mir-548a-3p" 0 15
"622" "hsa-mir-548a-5p" 0 15
"623" "hsa-mir-548b-3p" 0 15
"624" "hsa-mir-548b-5p" 0 15
"625" "hsa-mir-548c-3p" 0 15
"626" "hsa-mir-548c-5p" 0 15
"627" "hsa-mir-548d-3p" 0 15
"628" "hsa-mir-548d-5p" 0 15
"629" "hsa-mir-548e" 0 15
"630" "hsa-mir-548f" 0 15
"631" "hsa-mir-548g" 0 15
"632" "hsa-mir-548h" 0 15
"633" "hsa-mir-548i" 0 15
"634" "hsa-mir-548j" 0 15
"635" "hsa-mir-548k" 0 15
"636" "hsa-mir-548l" 0 15
"637" "hsa-mir-548m" 0 15
"638" "hsa-mir-548n" 0 15
"639" "hsa-mir-548o" 0 15
"640" "hsa-mir-548p" 0 15
"641" "hsa-mir-549" 0 15
"642" "hsa-mir-550" 5 15
"643" "hsa-mir-550*" 0 15
"644" "hsa-mir-551a" 0 15
"645" "hsa-mir-551b" 13 15
"646" "hsa-mir-551b*" 0 15
"647" "hsa-mir-552" 0 15
"648" "hsa-mir-553" 0 15
"649" "hsa-mir-554" 0 15
"650" "hsa-mir-555" 0 15
"651" "hsa-mir-556-3p" 0 15
"652" "hsa-mir-556-5p" 0 15
"653" "hsa-mir-557" 14 15
"654" "hsa-mir-558" 0 15
"655" "hsa-mir-559" 0 15
"656" "hsa-mir-561" 0 15
"657" "hsa-mir-562" 0 15
"658" "hsa-mir-563" 0 15
"659" "hsa-mir-564" 6 15
"660" "hsa-mir-566" 1 15
"661" "hsa-mir-567" 0 15
"662" "hsa-mir-568" 0 15
"663" "hsa-mir-569" 0 15
"664" "hsa-mir-570" 0 15
"665" "hsa-mir-571" 0 15
"666" "hsa-mir-572" 14 15
"667" "hsa-mir-573" 0 15
"668" "hsa-mir-574-3p" 15 15
"669" "hsa-mir-574-5p" 15 15
"670" "hsa-mir-575" 15 15
"671" "hsa-mir-576-3p" 0 15
"672" "hsa-mir-576-5p" 0 15
"673" "hsa-mir-577" 0 15
"674" "hsa-mir-578" 0 15
"675" "hsa-mir-579" 0 15
"676" "hsa-mir-580" 0 15
"677" "hsa-mir-581" 0 15
"678" "hsa-mir-582-3p" 0 15
"679" "hsa-mir-582-5p" 9 15
"680" "hsa-mir-583" 0 15
"681" "hsa-mir-584" 11 15
"682" "hsa-mir-585" 0 15
"683" "hsa-mir-586" 0 15
"684" "hsa-mir-587" 0 15
"685" "hsa-mir-588" 0 15
"686" "hsa-mir-589" 0 15
"687" "hsa-mir-589*" 0 15
"688" "hsa-mir-590-3p" 0 15
"689" "hsa-mir-590-5p" 15 15
"690" "hsa-mir-591" 0 15
"691" "hsa-mir-592" 0 15
"692" "hsa-mir-593" 0 15
"693" "hsa-mir-593*" 0 15
"694" "hsa-mir-595" 0 15
"695" "hsa-mir-596" 0 15
"696" "hsa-mir-597" 0 15
"697" "hsa-mir-598" 5 15
"698" "hsa-mir-599" 0 15
"699" "hsa-mir-600" 0 15
"700" "hsa-mir-601" 15 15
"701" "hsa-mir-602" 8 15
"702" "hsa-mir-603" 0 15
"703" "hsa-mir-604" 0 15
"704" "hsa-mir-605" 0 15
"705" "hsa-mir-606" 0 15
"706" "hsa-mir-607" 0 15
"707" "hsa-mir-608" 0 15
"708" "hsa-mir-609" 0 15
"709" "hsa-mir-610" 2 15
"710" "hsa-mir-611" 0 15
"711" "hsa-mir-612" 0 15
"712" "hsa-mir-613" 0 15
"713" "hsa-mir-614" 0 15
"714" "hsa-mir-615-3p" 0 15
"715" "hsa-mir-615-5p" 0 15
"716" "hsa-mir-616" 0 15
"717" "hsa-mir-616*" 0 15
"718" "hsa-mir-617" 0 15
"719" "hsa-mir-618" 0 15
"720" "hsa-mir-619" 0 15
