"miR" "bone.marrow" "num_samples"
"632" "hsa-mir-653" 0 13
"633" "hsa-mir-654-3p" 0 13
"634" "hsa-mir-654-5p" 0 13
"635" "hsa-mir-655" 0 13
"636" "hsa-mir-656" 0 13
"637" "hsa-mir-657" 0 13
"638" "hsa-mir-658" 0 13
"639" "hsa-mir-659" 0 13
"640" "hsa-mir-660" 2 13
"641" "hsa-mir-661" 0 13
"642" "hsa-mir-662" 0 13
"643" "hsa-mir-663" 7 13
"644" "hsa-mir-665" 0 13
"645" "hsa-mir-668" 0 13
"646" "hsa-mir-671-3p" 0 13
"647" "hsa-mir-671-5p" 3 13
"648" "hsa-mir-675" 0 13
"649" "hsa-mir-7" 3 13
"650" "hsa-mir-7-1*" 3 13
"651" "hsa-mir-7-2*" 0 13
"652" "hsa-mir-708" 0 13
"653" "hsa-mir-708*" 0 13
"654" "hsa-mir-744" 0 13
"655" "hsa-mir-744*" 0 13
"656" "hsa-mir-758" 0 13
"657" "hsa-mir-760" 0 13
"658" "hsa-mir-765" 3 13
"659" "hsa-mir-766" 4 13
"660" "hsa-mir-767-3p" 0 13
"661" "hsa-mir-767-5p" 0 13
"662" "hsa-mir-768-3p" 13 13
"663" "hsa-mir-768-5p" 5 13
"664" "hsa-mir-769-3p" 0 13
"665" "hsa-mir-769-5p" 0 13
"666" "hsa-mir-770-5p" 4 13
"667" "hsa-mir-801" 11 13
"668" "hsa-mir-802" 0 13
"669" "hsa-mir-873" 0 13
"670" "hsa-mir-874" 6 13
"671" "hsa-mir-875-3p" 0 13
"672" "hsa-mir-875-5p" 0 13
"673" "hsa-mir-876-3p" 0 13
"674" "hsa-mir-876-5p" 0 13
"675" "hsa-mir-877" 0 13
"676" "hsa-mir-877*" 1 13
"677" "hsa-mir-885-3p" 0 13
"678" "hsa-mir-885-5p" 0 13
"679" "hsa-mir-886-3p" 7 13
"680" "hsa-mir-886-5p" 0 13
"681" "hsa-mir-887" 1 13
"682" "hsa-mir-888" 0 13
"683" "hsa-mir-888*" 0 13
"684" "hsa-mir-889" 0 13
"685" "hsa-mir-890" 0 13
"686" "hsa-mir-891a" 0 13
"687" "hsa-mir-891b" 0 13
"688" "hsa-mir-892a" 0 13
"689" "hsa-mir-892b" 0 13
"690" "hsa-mir-9" 1 13
"691" "hsa-mir-9*" 1 13
"692" "hsa-mir-920" 0 13
"693" "hsa-mir-921" 0 13
"694" "hsa-mir-922" 0 13
"695" "hsa-mir-923" 13 13
"696" "hsa-mir-924" 0 13
"697" "hsa-mir-92a" 13 13
"698" "hsa-mir-92a-1*" 0 13
"699" "hsa-mir-92a-2*" 0 13
"700" "hsa-mir-92b" 0 13
"701" "hsa-mir-92b*" 0 13
"702" "hsa-mir-93" 13 13
"703" "hsa-mir-93*" 0 13
"704" "hsa-mir-933" 0 13
"705" "hsa-mir-934" 0 13
"706" "hsa-mir-935" 0 13
"707" "hsa-mir-936" 1 13
"708" "hsa-mir-937" 0 13
"709" "hsa-mir-938" 0 13
"710" "hsa-mir-939" 12 13
"711" "hsa-mir-940" 12 13
