"miR" "adipose.tissue" "sample_num"
"579" "hsa-miR-3194-5p" 0 200
"580" "hsa-miR-3195" 14 200
"581" "hsa-miR-3196" 0 200
"582" "hsa-miR-3197" 0 200
"583" "hsa-miR-3198" 0 200
"584" "hsa-miR-3199" 25 200
"585" "hsa-miR-3200-3p" 54 200
"586" "hsa-miR-3200-5p" 44 200
"587" "hsa-miR-3201" 0 200
"588" "hsa-miR-3202" 1 200
"589" "hsa-miR-320a" 81 200
"590" "hsa-miR-320b" 38 200
"591" "hsa-miR-320c" 47 200
"592" "hsa-miR-320d" 24 200
"593" "hsa-miR-320e" 1 200
"594" "hsa-miR-323a-3p" 31 200
"595" "hsa-miR-323a-5p" 0 200
"596" "hsa-miR-323b-3p" 36 200
"597" "hsa-miR-323b-5p" 0 200
"598" "hsa-miR-32-3p" 65 200
"599" "hsa-miR-324-3p" 43 200
"600" "hsa-miR-324-5p" 65 200
"601" "hsa-miR-325" 0 200
"602" "hsa-miR-32-5p" 60 200
"603" "hsa-miR-326" 43 200
"604" "hsa-miR-328" 54 200
"605" "hsa-miR-329" 13 200
"606" "hsa-miR-330-3p" 77 200
"607" "hsa-miR-330-5p" 49 200
"608" "hsa-miR-331-3p" 68 200
"609" "hsa-miR-331-5p" 71 200
"610" "hsa-miR-335-3p" 33 200
"611" "hsa-miR-335-5p" 43 200
"612" "hsa-miR-337-3p" 52 200
"613" "hsa-miR-337-5p" 8 200
"614" "hsa-miR-338-3p" 74 200
"615" "hsa-miR-338-5p" 73 200
"616" "hsa-miR-339-3p" 81 200
"617" "hsa-miR-339-5p" 53 200
"618" "hsa-miR-33a-3p" 20 200
"619" "hsa-miR-33a-5p" 66 200
"620" "hsa-miR-33b-3p" 8 200
"621" "hsa-miR-33b-5p" 60 200
"622" "hsa-miR-340-3p" 69 200
"623" "hsa-miR-340-5p" 93 200
"624" "hsa-miR-342-3p" 31 200
"625" "hsa-miR-342-5p" 58 200
"626" "hsa-miR-345-3p" 0 200
"627" "hsa-miR-345-5p" 60 200
"628" "hsa-miR-346" 0 200
"629" "hsa-miR-34a-3p" 1 200
