"miR" "kidney" "num_samples"
"678" "hsa-mir-582-3p" 0 3
"679" "hsa-mir-582-5p" 0 3
"680" "hsa-mir-583" 0 3
"681" "hsa-mir-584" 0 3
"682" "hsa-mir-585" 0 3
"683" "hsa-mir-586" 0 3
"684" "hsa-mir-587" 0 3
"685" "hsa-mir-588" 0 3
"686" "hsa-mir-589" 0 3
"687" "hsa-mir-589*" 0 3
"688" "hsa-mir-590-3p" 0 3
"689" "hsa-mir-590-5p" 0 3
"690" "hsa-mir-591" 0 3
"691" "hsa-mir-592" 0 3
"692" "hsa-mir-593" 0 3
"693" "hsa-mir-593*" 0 3
"694" "hsa-mir-595" 0 3
"695" "hsa-mir-596" 0 3
"696" "hsa-mir-597" 0 3
"697" "hsa-mir-598" 0 3
"698" "hsa-mir-599" 0 3
"699" "hsa-mir-600" 0 3
"700" "hsa-mir-601" 0 3
"701" "hsa-mir-602" 0 3
"702" "hsa-mir-603" 0 3
"703" "hsa-mir-604" 0 3
"704" "hsa-mir-605" 0 3
"705" "hsa-mir-606" 0 3
"706" "hsa-mir-607" 0 3
"707" "hsa-mir-608" 0 3
"708" "hsa-mir-609" 0 3
"709" "hsa-mir-610" 0 3
"710" "hsa-mir-611" 0 3
"711" "hsa-mir-612" 0 3
"712" "hsa-mir-613" 0 3
"713" "hsa-mir-614" 0 3
"714" "hsa-mir-615-3p" 0 3
"715" "hsa-mir-615-5p" 0 3
"716" "hsa-mir-616" 0 3
"717" "hsa-mir-616*" 0 3
"718" "hsa-mir-617" 0 3
"719" "hsa-mir-618" 0 3
"720" "hsa-mir-619" 0 3
"721" "hsa-mir-620" 0 3
