"miR" "melanoma" "sample_num"
"623" "hsa-miR-449c-5p" 50 57
"624" "hsa-miR-6865-5p" 0 57
"625" "hsa-miR-33a-3p" 35 57
"626" "hsa-miR-6880-5p" 0 57
"627" "hsa-miR-3156-5p" 0 57
"628" "hsa-miR-126-5p" 56 57
"629" "hsa-miR-889-3p" 12 57
"630" "hsa-miR-548as-5p" 1 57
"631" "hsa-miR-219a-5p" 4 57
"632" "hsa-miR-4759" 0 57
"633" "hsa-miR-4445-5p" 0 57
"634" "hsa-miR-4754" 0 57
"635" "hsa-miR-6850-5p" 2 57
"636" "hsa-miR-6888-5p" 0 57
"637" "hsa-miR-4701-5p" 0 57
"638" "hsa-miR-9-5p" 57 57
"639" "hsa-miR-378b" 39 57
"640" "hsa-miR-3922-5p" 0 57
"641" "hsa-miR-378c" 45 57
"642" "hsa-miR-378d" 33 57
"643" "hsa-miR-378e" 48 57
"645" "hsa-miR-6887-5p" 0 57
"646" "hsa-miR-15a-3p" 5 57
"647" "hsa-miR-30b-5p" 57 57
"648" "hsa-miR-7-1-3p" 56 57
"649" "hsa-miR-1285-3p" 57 57
"650" "hsa-miR-1180-5p" 2 57
"651" "hsa-miR-6802-5p" 0 57
"652" "hsa-miR-7704" 57 57
"653" "hsa-miR-7705" 29 57
"654" "hsa-miR-7702" 0 57
"655" "hsa-miR-3913-5p" 45 57
"656" "hsa-miR-7703" 11 57
"657" "hsa-miR-7706" 57 57
"658" "hsa-miR-193a-3p" 50 57
"659" "hsa-miR-6848-5p" 0 57
"660" "hsa-miR-652-3p" 57 57
"661" "hsa-miR-369-5p" 7 57
"662" "hsa-miR-6819-3p" 7 57
"663" "hsa-miR-374b-3p" 50 57
"664" "hsa-miR-4646-5p" 0 57
"665" "hsa-miR-3682-5p" 0 57
"666" "hsa-miR-5187-3p" 0 57
